Transaction time,Transaction object,Amount (RMB)
2024/2/28 22:47,DMALL,£¤17.90
2024/2/27 22:41,DMALL,£¤3.80
2024/2/27 22:36,Yiran,£¤126.00
2024/2/27 19:58,Yiran,£¤50.00
2024/2/27 16:48,Tencent,£¤15.00
2024/2/27 7:53,DMALL,£¤3.80
2024/2/26 18:50,DMALL,£¤7.99
2024/2/26 18:23,BUPT,£¤200.00
2024/2/25 19:54,Meituan,£¤25.88
2024/2/25 9:31,Luodazhong,£¤10.00
2024/2/26 9:31,Salary,£¤10000.00
2024/2/23 19:20,Yiran,£¤25.00
2024/2/20 21:02,Yitian,£¤55.00
2024/2/20 14:03,Zhonghuang,£¤2.00
2024/2/19 11:59,Yitian,£¤18.00
2024/2/17 17:26,Rice Peel,£¤8.00
2024/2/15 21:44,PDD,£¤5.30
2024/2/15 20:02,Mingxin,£¤37.75
2024/2/15 19:13,Meituan,£¤21.56
2024/2/14 22:27,Haina Zhixing,£¤29.99
2024/2/13 19:03,Meituan,£¤20.00
2024/2/12 11:56,Meituan,£¤38.00
2024/2/10 0:08,Red packets,£¤12.00
2024/2/9 20:10,Mingxin,£¤9.99
2024/2/9 18:47,Mingxin,£¤0.01
2024/2/7 16:01,Meituan,£¤39.76
2024/2/6 11:50,Noodles,£¤3.00
2024/1/30 14:56,Yigancheng,£¤19.80
2024/1/30 14:34,Meituan,£¤17.40
2024/1/29 21:45,Yitian,£¤43.00
2024/1/29 20:09,Shizijie,£¤10.00
2024/1/29 19:47,Shizijie,£¤30.00
2024/1/29 13:52,Beijing AllinOne Card,£¤30.00
2024/1/29 12:18,Yigancheng,£¤23.00
2024/1/28 13:29,Fangming,£¤79.00
2024/1/27 17:13,JD,£¤19.80
2024/1/27 17:04,Tencent,£¤15.00
2024/1/27 16:33,Fengxiang,£¤20.00
2024/1/27 16:21,Meituan,£¤79.00
2024/1/27 15:40,Morning Glory,£¤4.00
2024/1/25 20:29,Xingyuan,£¤1.60
2024/1/24 13:14,Xian Mingchi,£¤18.00
2024/1/23 18:26,Yitian,£¤15.00
2024/1/22 22:30,Jiayin,£¤65.00
2024/1/22 22:30,Yihao,£¤6.00
2024/1/22 16:42,Pang Donglai,£¤50.60
2024/1/22 11:22,Red date,£¤30.00
2024/1/22 9:23,Beijing AllinOne Card,£¤10.00
2024/1/20 21:55,Yitian,£¤208.00
2024/1/20 17:55,JD,£¤114.84
2024/1/20 17:54,JD,£¤31.11
2024/1/19 12:54,PDD,£¤8.50
2024/1/18 19:40,Yitian,£¤0.50
2024/1/18 19:40,Yitian,£¤0.15
2024/1/18 19:39,Yitian,£¤0.25
2024/1/18 19:38,Yitian,£¤61.00
2024/1/17 9:44,Ancient Law Pie,£¤5.00
2024/1/14 18:37,Meituan,£¤17.50
2024/1/14 10:10,Dazhong,£¤15.00
2024/1/13 19:00,JD,£¤30.00
2024/1/12 8:41,Tofu soup,£¤7.00
2024/1/11 21:19,Aviation restaurant supermarket,£¤6.00
2024/1/11 17:31,Morning Glory,£¤10.00
2024/1/10 10:19,Jiachen,£¤18.52
2024/1/10 9:38,CRNET,£¤66.00
2024/1/8 20:24,PDD,£¤6.50
2024/1/7 22:28,DMALL,£¤12.40
2024/1/7 18:14,Meituan,£¤29.80
2024/1/5 21:28,Jiachen,£¤38.00
2024/1/5 15:23,DMALL,£¤8.90
2024/1/4 10:12,Wumart,£¤10.00
2024/1/3 18:37,BUPT,£¤200.00
2024/1/3 18:31,BUPT,£¤13.00
2024/1/2 18:28,Weizhen,£¤2.10
2024/1/2 13:00,Weizhen,£¤12.00
2024/1/1 13:31,Zhiwei,£¤111.43
2024/1/1 1:43,Huanan,£¤140.25
2024/1/1 0:55,Red packets,£¤2.00
2024/1/1 0:54,Red packets,£¤3.00
2024/1/1 0:48,Red packets,£¤8.00
2024/1/1 0:46,Red packets,£¤10.00
2024/1/1 0:45,Red packets,£¤11.00
